subject,metaphor_id,response,met_type,conceptual,nm,trial_order,met_stim,met_RT,age,sex,hand,collegeYear,SES,language_group,lang_dist,LD_rev,LD_inverse,englishAgeofOnset,AT,NFC,letter_sets,WMC,GK,LA,word_gen_pca,source_similarity_lsa,source_similarity_word2vec
23,nm46,Sitting in that lecture was like watching an episode of the Jersey Shore. ,novel,5,4.5,24,23,74751,19,f,right,4,2,english,,0,0,0,12,-9,10,35,27,6,18.9884451,,
29,nm57,Eating shrimp and pasta without any sauce to cover the flavor was like drinking water from La Seine in Paris,novel,4.5,4.5,23,24,46878,22,m,right,4,3,bilingual,2.25,1.75,0.444444444,5,12,-3,14,40,19,9,29.3434821,-0.044729881,-0.149194946
40,nm87,Taking the professor's class was like being stuck in prison for million years.,novel,5,4.5,23,23,60123,24,m,right,6,3,bilingual,1,3,1,17,8,15,8,40,18,12,14.9581525,,
48,nm96,Being in that class was like sharing a room with a robot.,novel,4,4.5,24,23,98222,28,f,right,7,3,non-english,1,3,1,12,14,5,7,33,12,12,10.3045053,,
52,nm122,eating some insects is like you can never get your hand clean for those who are neat freak,novel,4.5,4.5,24,24,91459,32,f,right,7,3,non-english,1.5,2.5,0.666666667,11,24,17,7,28,19,7,14.4216494,0.137441279,0.107977699
53,nm103,Being in that class was like being in the worst movie in the theater.,novel,5,4.5,23,23,90231,17,f,right,1,3,bilingual,1.5,2.5,0.666666667,9,25,44,6,32,12,8,17.8593791,,
53,nm104,Eating left-over chicken was like eating paper with some salt on it.,novel,5,4.5,24,24,40328,17,f,right,1,3,bilingual,1.5,2.5,0.666666667,9,25,44,6,32,12,8,17.8593791,0.042244842,0.002790823
57,nm112,"Drinking neat Vodka is drinking a explosion, it was burning my stomach.",novel,5,4.5,24,24,77628,28,f,right,1,3,non-english,1.25,2.75,0.8,11,15,24,5,28,10,5,12.0971937,0.19524055,0.090789326
59,nm115,drinking this sweet beverage was like trying to repair a boat amid the ocean : you are desperately trying to get the liquid away ,novel,4.5,4.5,23,24,235713,22,f,right,6,4,non-english,2.5,1.5,0.4,12,14,20,12,61,22,7,22.405647,0.091145271,-0.082166109
60,nm117,Eating octopus was like chewing on the sole of my shoe.,novel,5,4.5,23,24,44730,18,f,right,2,2,english,,0,0,0,7,64,6,32,23,7,18.9134376,-0.014211719,-0.012365178
61,nm119,eating those eggplants cooked by Elizabeth was like chewing burned plastic,novel,5,4.5,23,24,138711,21,m,right,3,3,non-english,2.5,1.5,0.4,6,15,3,10,50,16,12,16.6576735,0.024161895,-0.019879825
16,nm31,"For me, eating scallops is like plunging into a swamp of brine and death",novel,4.5,4.25,23,24,24522,26,m,right,6,4,bilingual,,0,0,0,11,37,10,37,27,12,34.5091566,0.099674831,0.012146801
27,nm54,Being in class was like watching a snail move. ,novel,5,4.25,24,23,52338,31,m,left,5,2,english,,0,0,0,21,36,6,52,20,10,15.4741278,,
36,nm71,Eating a dessert from Bangladesh was like eating very sweet marshmallows dipped in cow poop,novel,4.5,4.25,23,24,56849,20,f,right,3,2,bilingual,2.25,1.75,0.444444444,3,6,18,10,23,23,10,14.8934089,0.037175455,-0.000600711
44,nm83,Taking AP Chem was like shoving bamboo shoots under my fingernails to pass the time.,novel,5,4.25,23,23,54221,24,f,right,6,2,english,,0,0,0,8,26,6,53,20,11,20.7487617,,
47,nm94,Eating it was like I had to chew a bunch of newspaper in my mouth.,novel,5,4.25,24,24,113057,39,f,right,6,4,non-english,1,3,1,12,23,45,12,50,23,11,17.2076007,0.310060193,0.239622885
24,nm47,Eating papaya was like eating a wet slime covered tissue ,novel,4.5,4,23,24,69364,23,m,right,6,3,english,,0,0,0,12,20,6,42,21,7,16.0651106,0.100573592,0.018235496
29,nm58,Being in Trigonometry was like talking to my grandmother about her niece's husband's dog's friend's sister's son,novel,5,4,24,23,47748,22,m,right,4,3,bilingual,2.25,1.75,0.444444444,5,12,-3,14,40,19,9,29.3434821,,
30,nm59,The class was like being at a how to be redundant advanced course,novel,2.5,4,23,23,57939,20,m,left,2,3,english,,0,0,0,9,35,14,41,23,11,23.5710328,,
33,nm66,Being in that class was like watching mold grow on cheese. ,novel,5,4,24,23,98957,27,f,right,6,2,english,,0,0,0,13,25,6,37,21,7,14.4058574,,
36,nm72,Microeconomics was like having to wait in line at the DMV ,novel,5,4,24,23,42095,20,f,right,3,2,bilingual,2.25,1.75,0.444444444,3,6,18,10,23,23,10,14.8934089,,
45,nm89,Drinking the soda Beverly was like drinking battery acid,novel,5,4,23,24,32553,20,f,right,3,2,english,,0,0,0,4,38,12,39,23,6,14.9336767,0.086994493,-0.057100783
46,nm91,Being in that class was like floating around the Universe.,novel,5,4,23,23,36452,35,f,right,7,3,non-english,1,3,1,9,24,40,12,43,23,13,17.8372712,,
47,nm93,Being in that class was like I was on my knees listening to what my mother-in-law talks to me about how she thinks I'm different than her own family.,novel,4.5,4,23,23,197166,39,f,right,6,4,non-english,1,3,1,12,23,45,12,50,23,11,17.2076007,,
49,nm97,Eating fried chiken feet was like licking somebody's dirty foot.,novel,5,4,23,24,166106,33,f,right,7,3,non-english,1,3,1,12,12,5,13,46,16,11,18.4219381,-0.020171692,-0.007933599
2,nm3,Being in that class was like watching a history documentary.,novel,3.5,3.5,23,23,224674,22,f,right,4,3,english,,0,0,0,12,-5,8,46,17,6,23.0447936,,
5,nm9,That class was a boring as reading Catcher in the Rye twice in one day.,novel,5,3.5,23,23,115202,21,m,right,3,4,english,,0,0,0,7,-11,4,55,27,5,12.6494888,,
12,nm24,Eating the salad at that restaurant was like eating a bag of salt.,novel,4.5,3.5,24,24,134920,20,f,right,2,3,bilingual,1.75,2.25,0.571428571,2,15,11,13,38,20,12,16.0224749,0.004430972,-0.091637138
13,nm26,Drinking vinegar shots was like intentionally poisoning yourself in the futile hope that it will help you in the long run,novel,3.5,3.5,24,24,95313,21,m,ambi,4,3,english,,0,0,0,12,17,14,38,22,11,23.5891927,0.053504422,-0.002759909
14,nm27,Eating kale was like eating trash.,novel,5,3.5,23,24,40003,24,f,right,4,1,english,,0,0,0,19,8,5,33,9,5,10.7999528,0.125747693,0.091548601
27,nm53,Eating pho soup was like eating from a toilet. ,novel,5,3.5,23,24,53245,31,m,left,5,2,english,,0,0,0,21,36,6,52,20,10,15.4741278,0.088742968,0.082211006
33,nm65,Eating raw osters was like drinking sea mucus. ,novel,3.5,3.5,23,24,43882,27,f,right,6,2,english,,0,0,0,13,25,6,37,21,7,14.4058574,-0.016972099,-0.03873403
35,nm70,Being in that class was like waiting for my mom shop for hours,novel,5,3.5,24,23,32951,20,f,right,3,3,non-english,2,2,0.5,10,12,-7,9,30,12,3,16.0887986,,
40,nm88,Eating stinky tofu in Taipei was like tasting horse shit.,novel,5,3.5,24,24,48667,24,m,right,6,3,bilingual,1,3,1,17,8,15,8,40,18,12,14.9581525,0.092684018,0.008168953
42,nm80,It was like been tied to a chair in a dark room for two days,novel,4.5,3.5,24,23,112374,38,f,right,6,2,non-english,2.25,1.75,0.444444444,8,16,5,14,36,16,7,20.1577789,,
54,nm106,drinking this medicine was like eating earth,novel,5,3.5,24,24,82651,21,f,right,4,3,non-english,2.5,1.5,0.4,10,13,4,13,44,11,9,13.179676,0.0868527,0.029214303
55,nm108,Drinking coconut water was like consciously drinking poison out of kindness.,novel,5,3.5,24,24,61687,17,f,right,1,4,bilingual,2.75,1.25,0.363636364,1,6,20,9,58,14,4,26.9945506,0.11700033,0.155470835
56,nm110,Eating Tofu was like eating a trash for me,novel,5,3.5,24,24,83520,19,m,left,1,3,non-english,2.25,1.75,0.444444444,5,15,10,12,34,15,11,10.3124013,0.119056284,0.069630157
58,nm113,Being in that class was like having to experience Dante's Inferno.,novel,5,3.5,23,23,29368,34,f,left,7,3,bilingual,1.25,2.75,0.8,3,24,55,6,62,19,8,23.0447936,,
3,nm6,Being in that class was like being forced to stay awake as my brain is being drilled into by a man discussing the deep literary meaning of Ayn Rand.,novel,4.5,3.25,24,23,77724,30,m,left,7,3,english,,0,0,0,16,31,14,52,25,13,17.8412192,,
34,nm68,Being in that class was like waiting to get out of prison. ,novel,5,3.25,24,23,48692,21,f,right,3,3,non-english,1.25,2.75,0.8,5,12,-1,11,29,19,9,14.3979614,,
35,nm69,Eating a rotten mango was like swallowing a whole trash can,novel,5,3.25,23,24,81894,20,f,right,3,3,non-english,2,2,0.5,10,12,-7,9,30,12,3,16.0887986,0.278538633,0.204067876
39,nm85,Eating a frog was like a nightmare,novel,5,3.25,23,24,99002,36,f,right,7,3,non-english,1,3,1,10,14,22,6,29,13,12,18.4298341,0.072198055,0.034446287
42,nm79,It was like trying to swallow sandpaper,novel,5,3.25,23,24,55814,38,f,right,6,2,non-english,2.25,1.75,0.444444444,8,16,5,14,36,16,7,20.1577789,0.197752749,0.111176588
19,nm37,Eating calamari was like chewing on a live snail.,novel,3.5,3,23,24,70636,33,f,right,7,2,non-english,2.5,1.5,0.4,14,13,36,10,41,19,10,17.8917509,0.072160764,0.00856415
25,nm49,Being in that class was like staring at a brick wall for 90 minutes. ,novel,5,3,23,23,33921,19,f,right,1,3,bilingual,1,3,1,3,20,10,5,15,18,6,17.1918087,,
32,nm63,Drinking this vinegar drink that I bought from Whole Foods the other day was like pouring bleach down my throat.,novel,4.5,3,23,24,54592,20,f,right,2,3,english,,0,0,0,9,18,10,49,19,3,18.3935143,0.181542568,0.051374427
38,nm76,Drinking Beverly was like the feeling of throwing up without actually doing it.,novel,4.5,3,24,24,39895,19,m,right,3,4,english,,0,0,0,14,4,11,56,24,11,13.2080998,0.306326157,0.293369976
39,nm86,Being in that class was like living in the never-ending land ,novel,5,3,24,23,61931,36,f,right,7,3,non-english,1,3,1,10,14,22,6,29,13,12,18.4298341,,
7,nm13,Drinking buttermilk was like swallowing a dozen rotten eggs.,novel,3,2.75,23,24,90905,21,f,left,4,3,english,,0,0,0,15,27,12,60,26,12,23.0550575,0.10265707,0.034382284
18,nm35,Being in that class was like listening to a school principle's speech for ten hours. ,novel,3,2.75,23,23,88823,27,f,right,7,3,non-english,1,3,1,9,11,12,13,26,21,13,17.7804236,,
25,nm50,Eating an expired sandwich was like biting into a rotten piece of meat.,novel,2.5,2.75,24,24,77832,19,f,right,1,3,bilingual,1,3,1,3,20,10,5,15,18,6,17.1918087,0.030562584,-0.010146487
26,nm52,eating that was like eating the dirt,novel,4.5,2.75,24,24,48390,19,f,right,1,3,non-english,1.5,2.5,0.666666667,4,14,30,8,31,16,8,10.9033841,0.095721111,0.075335211
32,nm64,Sitting in Mrs. Rogers US history class was like scratching nails on a chalkboard.,novel,4.5,2.75,24,23,54248,20,f,right,2,3,english,,0,0,0,9,18,10,49,19,3,18.3935143,,
43,nm81,"Drinking that soda was like dipping my taste buds in vinegar, then adding salt and sugar to the mix, just to be safe.",novel,3.5,2.75,23,24,49882,26,f,right,6,3,english,,0,0,0,11,21,10,56,26,11,26.4825233,0.01002563,-0.07491246
46,nm92,Eating the food was like biting worms.,novel,4.5,2.75,24,24,55511,35,f,right,7,3,non-english,1,3,1,9,24,40,12,43,23,13,17.8372712,0.042341954,-0.01303223
58,nm114,Eating okra was like having to force yourself to eat your own vomit.,novel,4.5,2.75,24,24,32334,34,f,left,7,3,bilingual,1.25,2.75,0.8,3,24,55,6,62,19,8,23.0447936,0.110400709,0.1662363
59,nm116,being in that class was a never ended struggle betweem two open eyes and two closed eyes,novel,3.5,2.75,24,23,168038,22,f,right,6,4,non-english,2.5,1.5,0.4,12,14,20,12,61,22,7,22.405647,,
1,nm1,"Sitting through that class was like hell, honestly.",novel,5,2.5,23,23,42039,19,f,right,4,3,english,,0,0,0,14,10,7,49,20,9,15.5183436,,
11,nm21,Eating an oyster was akin to what I'd imagine eating a giant booger would be like.,novel,5,2.5,23,24,78246,21,f,right,3,3,bilingual,,0,0,0,17,18,9,62,19,12,20.6571744,0.121201574,0.018928697
18,nm36,Eating goat cheese was like eating rotten milk. ,novel,2.5,2.5,24,24,46646,27,f,right,7,3,non-english,1,3,1,9,11,12,13,26,21,13,17.7804236,0.053172733,0.033943458
20,nm40,I had a drink at the World of Coca Cola that was so gross that drinking it was like drinking sewer.,novel,5,2.5,24,24,153807,45,f,right,6,3,non-english,2.5,1.5,0.4,11,17,24,14,39,22,11,13.2096799,0.154711269,0.028300403
28,nm56,Being in history class was like talking to a brick wall.,novel,5,2.5,24,23,91304,21,f,right,3,2,bilingual,2.75,1.25,0.363636364,6,21,4,7,20,13,2,9.6914146,,
41,nm77,Eating this Pakistany dessert was like chewing sugar,novel,2.5,2.5,23,24,166849,38,f,right,6,3,non-english,2.25,1.75,0.444444444,5,19,32,12,49,25,6,13.2357358,0.006493077,-0.05449105
2,nm4,The most digusting thing I have ever eaten was one of those Bean Boozled jelly beans in the flavor of vomit. Eating that jelly bean was like eating shit.,novel,4.5,2.25,24,24,102941,22,f,right,4,3,english,,0,0,0,12,-5,8,46,17,6,23.0447936,0.080029873,0.048430053
4,nm7,That class was a never-ending nightmare,novel,5,2.25,23,23,150315,19,f,right,3,3,english,,0,0,0,3,14,7,54,23,9,16.6758334,,
8,nm15,eating it was like swallowing a mouthfull of rotten eggs,novel,2.5,2.25,23,24,45862,24,f,right,4,2,english,,0,0,0,7,3,8,30,19,8,17.2241805,0.092747727,0.08340489
8,nm16,being in that class was like a battle fighting to keep my eyelids open.,novel,5,2.25,24,23,29454,24,f,right,4,2,english,,0,0,0,7,3,8,30,19,8,17.2241805,,
15,nm30,Being in my French class was like starring at a blank wall for 2 hours,novel,5,2.25,24,23,66652,27,f,right,6,3,english,,0,0,0,17,40,7,53,19,8,18.4195702,,
17,nm33,Drinking straight absinthe was like drinking fire.,novel,4.5,2.25,23,24,49326,28,f,right,7,3,english,,0,0,0,10,41,9,48,24,11,16.7145211,0.17944636,0.037999204
21,nm42,The taste of poor is like eating poison.,novel,4,2.25,24,24,48256,63,f,right,7,3,english,,0,0,0,12,4,6,53,14,6,14.3024261,0.148422526,0.150502146
26,nm51,being in that class was like i was a criminal in the prison,novel,5,2.25,23,23,62763,19,f,right,1,3,non-english,1.5,2.5,0.666666667,4,14,30,8,31,16,8,10.9033841,,
34,nm67,Drinking medicine was like trying to drink mud. ,novel,5,2.25,23,24,114942,21,f,right,3,3,non-english,1.25,2.75,0.8,5,12,-1,11,29,19,9,14.3979614,0.136180604,0.085822498
48,nm95,Eating a bug was like killing myself.,novel,5,2.25,23,24,40765,28,f,right,7,3,non-english,1,3,1,12,14,5,7,33,12,12,10.3045053,0.122525699,0.083005418
49,nm98,Being in that class was like reading a philosophy book to make me sleepy at night. ,novel,5,2.25,24,23,26681,33,f,right,7,3,non-english,1,3,1,12,12,5,13,46,16,11,18.4219381,,
56,nm109,Being in that class was like watching paint dry for 2 consecutive hours,novel,5,2.25,23,23,98855,19,m,left,1,3,non-english,2.25,1.75,0.444444444,5,15,10,12,34,15,11,10.3124013,,
7,nm14,Being in that class was like watching paint dry on a wall.,novel,5,2,24,23,81576,21,f,left,4,3,english,,0,0,0,15,27,12,60,26,12,23.0550575,,
10,nm20,Being in csc class is like being in csc class,novel,1.5,2,24,23,23449,20,m,ambi,2,3,non-english,1.5,2.5,0.666666667,5,20,8,9,33,18,7,12.0285021,,
12,nm23,Being in that class was like watching paint dry.,novel,5,2,23,23,77204,20,f,right,2,3,bilingual,1.75,2.25,0.571428571,2,15,11,13,38,20,12,16.0224749,,
14,nm28,Being in that class was like watching the grass grow.,novel,5,2,24,23,21312,24,f,right,4,1,english,,0,0,0,19,8,5,33,9,5,10.7999528,,
24,nm48,Taking astronomy was like staring a blank wall ,novel,5,2,24,23,128307,23,m,right,6,3,english,,0,0,0,12,20,6,42,21,7,16.0651106,,
45,nm90,Being in that class was like watching grass grow,novel,5,2,24,23,13270,20,f,right,3,2,english,,0,0,0,4,38,12,39,23,6,14.9336767,,
1,cm3,Some relationships are like overly wrapped presents with nothing inside. ,conv,5,5,3,11,239255,19,f,right,4,3,english,,0,0,0,14,10,7,49,20,9,15.5183436,0.185985499,0.080040138
1,cm10,Some people are like turtles within their shells. ,conv,5,5,10,8,317590,19,f,right,4,3,english,,0,0,0,14,10,7,49,20,9,15.5183436,0.280684344,0.31921643
2,cm30,Certain Memories are similar to wedding cakes. ,conv,5,5,8,4,67316,22,f,right,4,3,english,,0,0,0,12,-5,8,46,17,6,23.0447936,,
2,cm33,Her beauty is similar to a whining toddler. ,conv,5,5,11,14,32354,22,f,right,4,3,english,,0,0,0,12,-5,8,46,17,6,23.0447936,0.015082641,0.104913713
2,cm35,"The Earth reminds me of Whole Foods on a weekend, crowded and determined. ",conv,5,5,13,18,57560,22,f,right,4,3,english,,0,0,0,12,-5,8,46,17,6,23.0447936,0.205035411,0.447577696
3,cm46,Getting an education is like having a shopping spree in a candy store. ,conv,5,5,2,19,57129,30,m,left,7,3,english,,0,0,0,16,31,14,52,25,13,17.8412192,0.114043655,0.072186198
3,cm47,Her smile is like a carcass on the side of the road to buzzards. ,conv,5,5,3,10,31473,30,m,left,7,3,english,,0,0,0,16,31,14,52,25,13,17.8412192,-0.061035154,-0.089506064
3,cm48,Some college lectures are like waiting on an airplane to take off ,conv,5,5,4,2,38724,30,m,left,7,3,english,,0,0,0,16,31,14,52,25,13,17.8412192,,
3,cm51,His temper is like a zit being popped by a teenage girl the day before prom. ,conv,5,5,7,13,41062,30,m,left,7,3,english,,0,0,0,16,31,14,52,25,13,17.8412192,-0.075849448,0.051892304
3,cm53,Love is like a toddler going through the terrible twos who just downed a pot of coffee. ,conv,5,5,9,3,49142,30,m,left,7,3,english,,0,0,0,16,31,14,52,25,13,17.8412192,-0.002751198,0.033731358
3,cm56,Some computer programs are like a peice of IKEA furniture that is missing the assembly instructions ,conv,5,5,12,7,72017,30,m,left,7,3,english,,0,0,0,16,31,14,52,25,13,17.8412192,0.201393101,0.193592595
3,cm59,Some relationships are like a constant jerk-off session. ,conv,5,5,15,11,28640,30,m,left,7,3,english,,0,0,0,16,31,14,52,25,13,17.8412192,0.220479703,0.075868124
3,cm61,Some jobs are like a leather gimp suit ,conv,5,5,17,1,23589,30,m,left,7,3,english,,0,0,0,16,31,14,52,25,13,17.8412192,-0.117106009,0.032100532
3,cm62,Her house is as pristine as a nun's vagina. ,conv,5,5,18,22,21282,30,m,left,7,3,english,,0,0,0,16,31,14,52,25,13,17.8412192,0.118528924,0.360950163
3,cm65,Colleges are as diverse as an Ultimate Supreme Pizza with extra toppings.  ,conv,5,5,21,16,33947,30,m,left,7,3,english,,0,0,0,16,31,14,52,25,13,17.8412192,-0.026775688,0.217543357
3,cm66,Some old men are like a turd that just won't shake loose.  ,conv,5,5,22,6,44469,30,m,left,7,3,english,,0,0,0,16,31,14,52,25,13,17.8412192,0.217243717,0.235644355
4,cm78,Love is like your first day at a brand new school ,conv,5,5,12,3,66141,19,f,right,3,3,english,,0,0,0,3,14,7,54,23,9,16.6758334,-0.074406692,-0.063465081
4,cm79,Some teenagers are like squirrels on aderol ,conv,5,5,13,12,27823,19,f,right,3,3,english,,0,0,0,3,14,7,54,23,9,16.6758334,0.011145315,0.125747976
4,cm83,Some jobs are like a jealous boyfriend ,conv,5,5,17,1,12549,19,f,right,3,3,english,,0,0,0,3,14,7,54,23,9,16.6758334,-0.163268355,-0.091784321
4,cm84,Some computer programs and like trying to have a conversation with a baby ,conv,5,5,18,7,28075,19,f,right,3,3,english,,0,0,0,3,14,7,54,23,9,16.6758334,0.21376423,0.271209045
5,cm90,Some computer programs are harder to use than staying up 48 hours and trying to climb Everest.  ,conv,5,5,2,7,77335,21,m,right,3,4,english,,0,0,0,7,-11,4,55,27,5,12.6494888,0.397452892,0.450344439
5,cm92,Divorice destroys many like cake destroyed Star Jone's arms. ,conv,5,5,4,17,32853,21,m,right,3,4,english,,0,0,0,7,-11,4,55,27,5,12.6494888,0.270945528,0.35841643
5,cm94,Her radiant teeth made other flock to her like a bunch of geese flock to a lake. ,conv,5,5,6,10,33660,21,m,right,3,4,english,,0,0,0,7,-11,4,55,27,5,12.6494888,0.065751891,0.265063143
5,cm95,Occupations can be a confining as a Disney kids are with their carreers. ,conv,5,5,7,1,43648,21,m,right,3,4,english,,0,0,0,7,-11,4,55,27,5,12.6494888,-0.007983449,0.263142537
5,cm96,Caring for someone can be as rough as dating a hot girl with a bad laugh.  ,conv,4.5,5,8,3,42068,21,m,right,3,4,english,,0,0,0,7,-11,4,55,27,5,12.6494888,-0.162745829,0.035739591
5,cm98,Adolecents never stop just as that couple next door to you who have really loud sex 24/7 but never shuts the fuck up. ,conv,5,5,10,12,86807,21,m,right,3,4,english,,0,0,0,7,-11,4,55,27,5,12.6494888,0.223596801,0.372943539
5,cm100,Learning can propell you in life just like being shot out of a cannon can launch you so far. ,conv,5,5,12,19,56025,21,m,right,3,4,english,,0,0,0,7,-11,4,55,27,5,12.6494888,0.153958754,0.107081637
5,cm102,"The planet is always on the move, like a kid on speed. ",conv,5,5,14,18,54021,21,m,right,3,4,english,,0,0,0,7,-11,4,55,27,5,12.6494888,0.155322392,0.387593763
5,cm103,"His angry is like a male pornstar, you work him up till he explodes. ",conv,5,5,15,13,56308,21,m,right,3,4,english,,0,0,0,7,-11,4,55,27,5,12.6494888,0.103611267,0.156330848
